"","Seq","Lat","Lon","prop"
"298",126179,2.25,-90.75,1
"299",126180,2.25,-90.25,1
"300",126181,2.25,-89.75,1
"301",126182,2.25,-89.25,1.01404039141315
"302",126183,2.25,-88.75,1.01404039141315
"303",126184,2.25,-88.25,1.01404039141315
"304",126185,2.25,-87.75,0.961111466535929
"305",126186,2.25,-87.25,0.722179319757723
"306",126187,2.25,-86.75,0.669062392757403
"307",126188,2.25,-86.25,0.769230805179974
"308",126189,2.25,-85.75,1.01404039141315
"309",126190,2.25,-85.25,1
"310",126191,2.25,-84.75,1
"311",126192,2.25,-84.25,1
"312",126193,2.25,-83.75,1
"313",126194,2.25,-83.25,1
"314",126195,2.25,-82.75,1
"315",126196,2.25,-82.25,1
"316",126897,1.75,-91.75,1
"317",126898,1.75,-91.25,1
"318",126899,1.75,-90.75,1
"319",126900,1.75,-90.25,1
"320",126901,1.75,-89.75,1
"321",126902,1.75,-89.25,1
"322",126903,1.75,-88.75,1
"323",126904,1.75,-88.25,1.01404039141315
"324",126905,1.75,-87.75,1.01404039141315
"325",126906,1.75,-87.25,1.01404039141315
"326",126907,1.75,-86.75,1.01404039141315
"327",126908,1.75,-86.25,1.01404039141315
"328",126909,1.75,-85.75,1.01404039141315
"329",126910,1.75,-85.25,1
"330",126911,1.75,-84.75,1
"331",126912,1.75,-84.25,1
"332",126913,1.75,-83.75,1
"333",126914,1.75,-83.25,1
"334",126915,1.75,-82.75,1
"335",126916,1.75,-82.25,1
"336",127617,1.25,-91.75,1
"337",127618,1.25,-91.25,1
"338",127619,1.25,-90.75,1
"339",127620,1.25,-90.25,1
"340",127621,1.25,-89.75,1
"341",127622,1.25,-89.25,1
"342",127623,1.25,-88.75,1
"343",127624,1.25,-88.25,1
"344",127625,1.25,-87.75,1
"345",127626,1.25,-87.25,1
"346",127627,1.25,-86.75,1
"347",127628,1.25,-86.25,1
"348",127629,1.25,-85.75,1
"349",127630,1.25,-85.25,1
"350",127631,1.25,-84.75,1
"351",127632,1.25,-84.25,1
"352",127633,1.25,-83.75,1
"353",127634,1.25,-83.25,1
"354",127635,1.25,-82.75,1
"355",127636,1.25,-82.25,1
"356",128337,0.75,-91.75,1
"357",128338,0.75,-91.25,1
"358",128339,0.75,-90.75,1
"359",128340,0.75,-90.25,1
"360",128341,0.75,-89.75,1
"361",128342,0.75,-89.25,1
"362",128343,0.75,-88.75,1
"363",128344,0.75,-88.25,1
"364",128345,0.75,-87.75,1
"365",128346,0.75,-87.25,1
"366",128347,0.75,-86.75,1
"367",128348,0.75,-86.25,1
"368",128349,0.75,-85.75,1
"369",128350,0.75,-85.25,1
"370",128351,0.75,-84.75,1
"371",128352,0.75,-84.25,1
"372",128353,0.75,-83.75,1
"373",128354,0.75,-83.25,1
"374",128355,0.75,-82.75,1
"375",128356,0.75,-82.25,1
"376",129057,0.25,-91.75,1
"377",129058,0.25,-91.25,1
"378",129059,0.25,-90.75,1
"379",129060,0.25,-90.25,1
"380",129061,0.25,-89.75,1
"381",129062,0.25,-89.25,1
"382",129063,0.25,-88.75,1
"383",129064,0.25,-88.25,1
"384",129065,0.25,-87.75,1
"385",129066,0.25,-87.25,1
"386",129067,0.25,-86.75,1
"387",129068,0.25,-86.25,1
"388",129069,0.25,-85.75,1
"389",129070,0.25,-85.25,1
"390",129071,0.25,-84.75,1
"391",129072,0.25,-84.25,1
"392",129073,0.25,-83.75,1
"393",129074,0.25,-83.25,1
"394",129075,0.25,-82.75,1
"395",129076,0.25,-82.25,1
