"","Seq","Lat","Lon","prop","status"
"241",124022,3.75,-89.25,0.685071083107557,"protected"
"242",124023,3.75,-88.75,0.5,"protected"
"243",124024,3.75,-88.25,0.5,"protected"
"244",124025,3.75,-87.75,0.5,"protected"
"245",124026,3.75,-87.25,0.5,"protected"
"246",124027,3.75,-86.75,0.5,"protected"
"247",124028,3.75,-86.25,0.532102441960774,"protected"
"248",124029,3.75,-85.75,1.01404039141315,"surrounding"
"249",124030,3.75,-85.25,1,"open"
"250",124031,3.75,-84.75,1,"open"
"251",124032,3.75,-84.25,1,"open"
"252",124033,3.75,-83.75,1,"open"
"253",124034,3.75,-83.25,1,"open"
"254",124035,3.75,-82.75,1,"open"
"255",124036,3.75,-82.25,1,"open"
"256",124737,3.25,-91.75,1,"open"
"257",124738,3.25,-91.25,1,"open"
"258",124739,3.25,-90.75,1,"open"
"259",124740,3.25,-90.25,1,"open"
"260",124741,3.25,-89.75,1.01404039141315,"surrounding"
"261",124742,3.25,-89.25,0.865717312707867,"protected"
"262",124743,3.25,-88.75,0.569837520779353,"protected"
"263",124744,3.25,-88.25,0.5,"protected"
"264",124745,3.25,-87.75,0.5,"protected"
"265",124746,3.25,-87.25,0.5,"protected"
"266",124747,3.25,-86.75,0.5,"protected"
"267",124748,3.25,-86.25,0.532627673189378,"protected"
"268",124749,3.25,-85.75,1.01404039141315,"surrounding"
"269",124750,3.25,-85.25,1,"open"
"270",124751,3.25,-84.75,1,"open"
"271",124752,3.25,-84.25,1,"open"
"272",124753,3.25,-83.75,1,"open"
"273",124754,3.25,-83.25,1,"open"
"274",124755,3.25,-82.75,1,"open"
"275",124756,3.25,-82.25,1,"open"
"276",125457,2.75,-91.75,1,"open"
"277",125458,2.75,-91.25,1,"open"
"278",125459,2.75,-90.75,1,"open"
"279",125460,2.75,-90.25,1,"open"
"280",125461,2.75,-89.75,1.01404039141315,"surrounding"
"281",125462,2.75,-89.25,1.01404039141315,"surrounding"
"282",125463,2.75,-88.75,0.987677621154165,"protected"
"283",125464,2.75,-88.25,0.77559751844434,"protected"
"284",125465,2.75,-87.75,0.53197537661576,"protected"
"285",125466,2.75,-87.25,0.5,"protected"
"286",125467,2.75,-86.75,0.5,"protected"
"287",125468,2.75,-86.25,0.533306094798606,"protected"
"288",125469,2.75,-85.75,1.01404039141315,"surrounding"
"289",125470,2.75,-85.25,1,"open"
"290",125471,2.75,-84.75,1,"open"
"291",125472,2.75,-84.25,1,"open"
"292",125473,2.75,-83.75,1,"open"
"293",125474,2.75,-83.25,1,"open"
"294",125475,2.75,-82.75,1,"open"
"295",125476,2.75,-82.25,1,"open"
"296",126177,2.25,-91.75,1,"open"
"297",126178,2.25,-91.25,1,"open"
"298",126179,2.25,-90.75,1,"open"
"299",126180,2.25,-90.25,1,"open"
"300",126181,2.25,-89.75,1,"open"
"301",126182,2.25,-89.25,1.01404039141315,"surrounding"
"302",126183,2.25,-88.75,1.01404039141315,"surrounding"
"303",126184,2.25,-88.25,1.01404039141315,"surrounding"
"304",126185,2.25,-87.75,0.961111466535929,"protected"
"305",126186,2.25,-87.25,0.722179319757723,"protected"
"306",126187,2.25,-86.75,0.669062392757403,"protected"
"307",126188,2.25,-86.25,0.769230805179974,"protected"
"308",126189,2.25,-85.75,1.01404039141315,"surrounding"
"309",126190,2.25,-85.25,1,"open"
"310",126191,2.25,-84.75,1,"open"
"311",126192,2.25,-84.25,1,"open"
"312",126193,2.25,-83.75,1,"open"
"313",126194,2.25,-83.25,1,"open"
"314",126195,2.25,-82.75,1,"open"
"315",126196,2.25,-82.25,1,"open"
"316",126897,1.75,-91.75,1,"open"
"317",126898,1.75,-91.25,1,"open"
"318",126899,1.75,-90.75,1,"open"
"319",126900,1.75,-90.25,1,"open"
"320",126901,1.75,-89.75,1,"open"
"321",126902,1.75,-89.25,1,"open"
"322",126903,1.75,-88.75,1,"open"
"323",126904,1.75,-88.25,1.01404039141315,"surrounding"
"324",126905,1.75,-87.75,1.01404039141315,"surrounding"
"325",126906,1.75,-87.25,1.01404039141315,"surrounding"
"326",126907,1.75,-86.75,1.01404039141315,"surrounding"
"327",126908,1.75,-86.25,1.01404039141315,"surrounding"
"328",126909,1.75,-85.75,1.01404039141315,"surrounding"
"329",126910,1.75,-85.25,1,"open"
"330",126911,1.75,-84.75,1,"open"
"331",126912,1.75,-84.25,1,"open"
